SHITOMASI-BRISK,1.57636,2.5588,2.46884,2.33982,2.2667,2.23907,2.25065,2.33925,2.18827,2.22665
HARRIS-BRISK,0.532763,1.38408,1.28345,1.39805,1.36971,1.61276,1.28424,1.4585,1.39397,1.43518
FAST-BRISK,2.76889,2.62629,2.63684,1.91348,2.52513,2.20651,1.80425,2.07473,1.654,2.63819
BRISK-BRISK,3.85852,3.23863,3.11686,3.09907,3.24746,3.16248,3.21033,3.19419,2.9551,2.93335
ORB-BRISK,2.06164,1.91295,1.33223,1.39824,1.52703,10.5621,1.59428,2.4812,2.76584,1.6079
SIFT-BRISK,1.72213,1.37959,1.38849,1.43096,1.37114,1.3689,1.42855,1.42227,2.38464,1.45841
SHITOMASI-BRIEF,0.826667,1.71551,2.3152,1.5852,1.58102,4.21535,1.6096,1.61879,1.55964,2.19846
HARRIS-BRIEF,7.29537,3.52541,2.12681,2.75979,5.98318,0.708287,1.99336,1.69874,1.78124,1.78821
FAST-BRIEF,2.77294,2.62091,1.70406,0.832543,0.846047,0.823344,3.74881,1.33449,1.01433,1.243
BRISK-BRIEF,3.6633,2.15959,2.21371,2.27543,2.29625,2.18595,2.77847,2.15283,2.12226,2.00517
ORB-BRIEF,2.00262,1.28825,1.09997,1.11273,1.15119,1.41813,1.22014,1.22105,1.26683,1.29042
SIFT-BRIEF,0.777108,0.687549,0.706061,0.690033,0.682355,0.704644,0.724757,1.12203,0.786608,0.801892
SHITOMASI-ORB,1.81318,1.38826,1.11673,1.09935,3.06002,1.34123,2.77795,1.56983,1.14127,1.59452
HARRIS-ORB,1.43763,2.00381,1.48414,1.43949,1.448,1.36484,4.67604,2.38684,1.4138,1.50187
FAST-ORB,2.56236,2.09179,1.8968,1.9282,1.71722,1.74308,1.75543,1.79596,1.2696,1.69056
BRISK-ORB,8.72976,5.76043,9.67025,5.18958,5.2485,8.95337,5.26246,5.36643,5.5161,5.53057
ORB-ORB,9.27407,8.00963,7.88119,8.18743,12.6539,8.00852,12.529,7.37428,10.7397,14.6149
AKAZE-ORB,3.5531,3.93908,5.29301,4.07296,4.71571,5.90976,3.50244,4.94567,3.90463,4.85255
AKAZE-BRIEF,2.28514,1.39827,1.93291,1.82756,3.40108,1.96903,3.46675,3.07401,2.62765,2.70286
AKAZE-BRISK,1.97657,1.91384,1.8995,1.82045,2.15766,2.89428,2.84987,3.07309,2.01591,2.15903
SHITOMASI-FREAK,83.5256,53.5812,51.2996,51.0985,55.8511,48.873,67.6337,65.2106,71.3111,47.9839
HARRIS-FREAK,103.946,111.616,68.2347,51.981,65.5855,56.2557,67.3285,77.3505,75.5267,51.7417
FAST-FREAK,79.4551,79.5809,72.2637,67.4407,68.826,81.5716,64.6349,43.8659,52.055,51.166
BRISK-FREAK,54.6622,48.2661,49.773,43.6244,45.3242,63.4513,58.1298,48.0674,53.5219,42.2589
ORB-FREAK,87.3397,71.3869,106.935,83.4185,80.7555,105.27,93.7839,148.336,112.143,69.6846
AKAZE-FREAK,96.5242,75.9601,65.0886,76.3298,53.6,45.6141,64.5192,43.5867,77.2798,42.713
SIFT-FREAK,63.2913,60.4647,83.6011,86.0347,62.2577,49.0946,48.2686,61.3908,44.2211,89.737
AKAZE-AKAZE,98.9924,100.46,101.892,142.316,108.654,158.09,103.441,127.876,103.199,194.424
SHITOMASI-SIFT,56.0941,33.3761,38.9873,33.3591,21.0597,37.1221,42.0703,34.2795,30.5524,50.658
HARRIS-SIFT,55.9317,55.5245,65.095,54.6955,41.0227,56.5413,48.8975,68.629,44.587,90.6787
FAST-SIFT,71.8362,82.3304,63.5952,107.051,84.3326,100.399,86.6007,64.8495,52.1365,52.782
BRISK-SIFT,143.172,72.9841,95.2269,87.3393,78.9123,95.0629,130.015,115.862,81.4567,85.5625
ORB-SIFT,136.142,90.8523,129.607,118.153,106.122,127.112,169.71,142.401,132.031,166.019
AKAZE-SIFT,37.656,53.2157,38.4323,39.3228,55.496,38.2399,66.3348,64.2599,83.876,93.0005
SIFT-SIFT,205.593,152.962,137.275,159.551,116.439,167.252,116.608,151.051,111.16,203.699
